filename,piece_name,instrument,part,corrections,confidence,last_seen
Feodora_Ouverture_Alto_Saxophone_Eb.pdf,,,,,0.0,2025-06-18T13:25:08.349802
Feodora_Ouverture_Baritone_Bb.pdf,,,,,0.0,2025-06-18T13:25:09.376972
Feodora_Ouverture_Baritone_Page71.pdf,,,,,0.0,2025-06-18T13:25:09.940489
Feodora_Ouverture_Bass_Page73.pdf,,,,,0.0,2025-06-18T13:25:10.473603
Feodora_Ouverture_Clarinet_1st_Bb.pdf,,,,,0.0,2025-06-18T13:25:11.033330
Feodora_Ouverture_Clarinet_1st_Page72.pdf,,,,,0.0,2025-06-18T13:25:11.471787
Feodora_Ouverture_Clarinet_2nd_3rd.pdf,,,,,0.0,2025-06-18T13:25:11.906782
Feodora_Ouverture_Clarinet_2nd_3rd_Page22.pdf,,,,,0.0,2025-06-18T13:25:12.333459
Feodora_Ouverture_Clarinet_2nd_3rd_Page23.pdf,,,,,0.0,2025-06-18T13:25:12.761798
Feodora_Ouverture_Clarinet_2nd_3rd_Page29.pdf,,,,,0.0,2025-06-18T13:25:13.193042
Feodora_Ouverture_Clarinet_Eb.pdf,,,,,0.0,2025-06-18T13:25:13.617758
Feodora_Ouverture_Flugelhorn_1st_Bb.pdf,,,,,0.0,2025-06-18T13:25:14.057430
Feodora_Ouverture_Horn_1st_2nd_Eb.pdf,,,,,0.0,2025-06-18T13:25:14.484535
Feodora_Ouverture_Horn_3rd_4th_Eb_Page64.pdf,,,,,0.0,2025-06-18T13:25:14.912745
Feodora_Ouverture_Oboe.pdf,,,,,0.0,2025-06-18T13:25:15.326287
Feodora_Ouverture_Conductor_Score.pdf,,,,,0.0,2025-06-18T13:25:15.994544
Feodora_Ouverture_Tenor_Horn_1st_Page35.pdf,,,,,0.0,2025-06-18T13:25:16.479294
Feodora_Ouverture_Tenor_Horn_1st_Page37.pdf,,,,,0.0,2025-06-18T13:25:16.939870
Feodora_Ouverture_Tenor_Horn_2nd_3rd_Bb.pdf,,,,,0.0,2025-06-18T13:25:17.366109
Feodora_Ouverture_Trombone_1st_2nd.pdf,,,,,0.0,2025-06-18T13:25:17.822923
Feodora_Ouverture_Trumpet_1st_Page38.pdf,,,,,0.0,2025-06-18T13:25:18.243132
Feodora_Ouverture_Trumpet_1st_Page44.pdf,,,,,0.0,2025-06-18T13:25:18.705193
Feodora_Ouverture_Trumpet_1st_2nd_3rd_Bb.pdf,,,,,0.0,2025-06-18T13:25:19.197922
French_Comedy_Overture_Alto_Saxophone_10_KM_C257i25061617450.pdf,,,,,0.0,2025-06-18T13:25:19.649094
French_Comedy_Overture_2nd_Bassoon.pdf,,,,,0.0,2025-06-18T13:25:20.882091
French_Comedy_Overture_2nd_Clarinet.pdf,,,,,0.0,2025-06-18T13:25:21.586670
French_Comedy_Overture_Clarinet_2nd.pdf,,,,,0.0,2025-06-18T13:25:22.050126
French_Comedy_Overture_Clarinet.pdf,,,,,0.0,2025-06-18T13:25:22.435213
French_Comedy_Overture_Clarinet_Clarinet.pdf,,,,,0.0,2025-06-18T13:25:22.882278
French_Comedy_Overture_1st_Cornet.pdf,,,,,0.0,2025-06-18T13:25:23.304281
French_Comedy_Overture_Cornet_1st.pdf,,,,,0.0,2025-06-18T13:25:23.732090
French_Comedy_Overture_2nd_Cornet.pdf,,,,,0.0,2025-06-18T13:25:24.168111
French_Comedy_Overture_Cornet_2nd.pdf,,,,,0.0,2025-06-18T13:25:24.604108
French_Comedy_Overture_Euphonium.pdf,,,,,0.0,2025-06-18T13:25:25.023767
French_Comedy_Overture_Euphonium_1.pdf,,,,,0.0,2025-06-18T13:25:25.451015
French_Comedy_Overture_Db_Flute_Piccolo.pdf,,,,,0.0,2025-06-18T13:25:55.943668
French_Comedy_Overture_Flute.pdf,,,,,0.0,2025-06-18T13:25:56.441656
French_Comedy_Overture_Flute_Solo.pdf,,,,,0.0,2025-06-18T13:25:56.863721
French_Comedy_Overture_Solo_Flute.pdf,,,,,0.0,2025-06-18T13:25:57.318627
French_Comedy_Overture_Oboes_3.pdf,,,,,0.0,2025-06-18T13:25:58.326545
French_Comedy_Overture_Timpani.pdf,,,,,0.0,2025-06-18T13:25:58.861902
French_Comedy_Overture_Timpani_Timpani.pdf,,,,,0.0,2025-06-18T13:25:59.280454
French_Comedy_Overture_1st_Trombone.pdf,,,,,0.0,2025-06-18T13:25:59.776191
French_Comedy_Overture_Trombone_1st.pdf,,,,,0.0,2025-06-18T13:26:00.207919
French_Comedy_Overture_Trombone.pdf,,,,,0.0,2025-06-18T13:26:00.568202
2nd_Bassoon.pdf,,,,,0.0,2025-06-18T13:26:00.972628
